,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
227,1077.0,7.0,41.922082541,-87.634156093,,6.0,41.934659157,-87.646729729,8,2.6,1200.0
228,16.0,32.0,41.880994471,-87.632746489,,7.0,41.914616286,-87.631717366,1,0.1,720.0
229,,8.0,41.899602111,-87.633308037,,28.0,41.874005383,-87.66351755,6,3.2,900.0
230,,14.0,41.968069,-87.721559063,,24.0,41.901206994,-87.676355989,0,4.48,822.0
231,,17.0,41.94651142,-87.806020002,,11.0,41.978829526,-87.771166703,1,2.4,540.0
232,930.0,32.0,41.87101588,-87.631406525,,8.0,41.892042136,-87.63186395,1,0.1,660.0
233,,2.0,42.001571027,-87.695012589,,8.0,41.899602111,-87.633308037,2,8.1,1140.0
234,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,1,5.6,1080.0
235,676.0,28.0,41.879066994,-87.657005027,,32.0,41.880994471,-87.632746489,3,2.4,540.0
236,,3.0,41.96581197,-87.655878786,,8.0,41.899602111,-87.633308037,3,5.29,660.0
237,680.0,6.0,41.946294536,-87.654298084,,7.0,41.929046937,-87.651310877,1,1.2,360.0
238,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,1,1.7,420.0
239,,24.0,41.901206994,-87.676355989,,6.0,41.944226601,-87.655998182,1,4.4,1320.0
240,,41.0,41.794090253,-87.592310855,,32.0,41.878865584,-87.625192142,0,7.5,840.0
241,805.0,8.0,41.902788048,-87.62614559,,8.0,41.89503345,-87.619710672,0,0.0,480.0
242,792.0,8.0,41.89321636,-87.63784421,,7.0,41.921778188,-87.651061884,2,2.3,660.0
243,396.0,6.0,41.94258518,-87.656644092,,8.0,41.892042136,-87.63186395,0,5.5,1080.0
244,670.0,6.0,41.934659157,-87.646729729,,6.0,41.945282331,-87.661545096,4,1.4,420.0
245,504.0,32.0,41.884987192,-87.620992913,,8.0,41.902788048,-87.62614559,1,1.3,420.0
246,676.0,28.0,41.879066994,-87.657005027,,8.0,41.892507781,-87.626214906,5,0.1,720.0
247,899.0,8.0,41.892072635,-87.628874157,,32.0,41.884987192,-87.620992913,7,1.3,420.0
248,,22.0,41.92276062,-87.699155343,,6.0,41.944226601,-87.655998182,1,1.8,540.0
249,440.0,24.0,41.89967018,-87.669837798,,8.0,41.892072635,-87.628874157,9,2.8,660.0
250,1007.0,7.0,41.93057857,-87.642206313,,8.0,41.90749193,-87.63576009,1,1.6,420.0
251,,7.0,41.922686284,-87.649488729,,32.0,41.878865584,-87.625192142,0,0.2,1560.0
252,334.0,8.0,41.899155613,-87.626210532,,8.0,41.892042136,-87.63186395,1,0.0,420.0
253,,61.0,41.80901825,-87.659166599,,32.0,41.878865584,-87.625192142,3,6.0,780.0
254,,7.0,41.922686284,-87.649488729,,33.0,41.857183858,-87.620334624,1,0.4,840.0
255,,16.0,41.953582125,-87.72345239,,8.0,41.899602111,-87.633308037,0,6.8,1140.0
256,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892507781,-87.626214906,2,1.4,540.0
257,398.0,24.0,41.892658108,-87.652534484,,8.0,41.899155613,-87.626210532,1,1.7,420.0
258,,1.0,42.009622881,-87.670166857,,6.0,41.944226601,-87.655998182,1,6.5,1320.0
259,140.0,8.0,41.900221297,-87.629105186,,8.0,41.892507781,-87.626214906,3,0.0,420.0
260,970.0,8.0,41.892507781,-87.626214906,,32.0,41.880994471,-87.632746489,4,1.2,540.0
